X,Y,Z
-0.281177,-0.010875,-0.076074
0.029282,-0.048777,-0.110507
0.278379,-0.083642,-0.134161
0.428561,-0.114496,-0.141233
0.471881,-0.140472,-0.128892
0.426326,-0.160948,-0.098622
0.323654,-0.175648,-0.056337
0.197297,-0.184642,-0.011003
0.076342,-0.188312,0.028244
-0.01823,-0.187303,0.055076
-0.078335,-0.182434,0.06757
-0.109394,-0.174538,0.068046
-0.12093,-0.164319,0.061204
-0.112926,-0.152343,0.051938
-0.067922,-0.139105,0.044023
0.042426,-0.125103,0.039783
0.234525,-0.110829,0.040467
0.495498,-0.096645,0.046679
0.790698,-0.082709,0.058394
1.083092,-0.069086,0.074624
1.34592,-0.055914,0.09298
0.196649,-0.173388,-0.170101
0.230028,-0.176554,-0.161655
0.258005,-0.173289,-0.142364
0.278594,-0.161239,-0.117088
0.289611,-0.1392,-0.088794
0.287878,-0.108144,-0.058155
0.270558,-0.070704,-0.025923
0.237014,-0.029485,0.004976
0.189086,0.013641,0.030509
0.12969,0.055956,0.048165
0.060851,0.092771,0.058557
-0.016346,0.119251,0.064721
-0.098669,0.132839,0.069158
-0.178492,0.133483,0.071675
-0.246132,0.122406,0.070619
-0.294226,0.101091,0.06579
-0.320269,0.071383,0.060176
-0.325916,0.036583,0.058798
-0.313635,0.001556,0.064465
-0.285113,-0.029478,0.074436
-0.244338,-0.054782,0.081732
-0.200452,-0.074116,0.079506
-0.165182,-0.086917,0.065415
-0.147213,-0.092213,0.043068
-0.147976,-0.089893,0.019078
-0.161857,-0.081947,-0.000918
-0.181667,-0.072322,-0.013916
-0.203894,-0.064899,-0.019436
-0.228682,-0.061583,-0.018959
-0.256489,-0.062389,-0.015138
-0.284644,-0.066341,-0.01063
-0.305046,-0.071794,-0.007055
-0.303869,-0.07647,-0.004721
-0.264273,-0.077919,-0.003164
-0.173044,-0.074316,-0.002214
-0.028733,-0.06512,-0.002539
0.15296,-0.05102,-0.004969
0.341727,-0.032955,-0.009634
0.505594,-0.011412,-0.015934
0.623798,0.013013,-0.02277
0.689076,0.038767,-0.028444
0.701578,0.063358,-0.030778
0.660874,0.084046,-0.028071
0.564353,0.098642,-0.019979
0.415734,0.10605,-0.007407
0.23244,0.106351,0.008121
0.041128,0.100678,0.024843
-0.132227,0.091001,0.04065
-0.268486,0.079741,0.05273
-0.355799,0.069109,0.057964
-0.386287,0.060587,0.054598
-0.354904,0.054879,0.04357
-0.263722,0.0519,0.02793
-0.12471,0.050513,0.011322
0.044867,0.048622,-0.003099
0.226896,0.044249,-0.013063
0.399547,0.037064,-0.017109
0.534026,0.029342,-0.014537
0.600108,0.025463,-0.005698
0.579139,0.029568,0.007777
0.477126,0.043172,0.023206
0.324434,0.064595,0.037185
0.154705,0.089958,0.045822
-0.015872,0.114933,0.04543
-0.187965,0.136061,0.034067
-0.36534,0.150928,0.012707
-0.542445,0.157993,-0.015195
-0.701294,0.156842,-0.045052
-0.818979,0.148346,-0.072428
-0.874527,0.134166,-0.093846
-0.847853,0.116253,-0.107132
-0.722756,0.096954,-0.111911
-0.503628,0.079208,-0.110256
