No,X,Y,Z,Tabel
404,0.278594,-0.161239,-0.117088,Gempa
405,0.289611,-0.1392,-0.088794,Gempa
406,0.287878,-0.108144,-0.058155,Gempa
407,0.270558,-0.070704,-0.025923,Gempa
408,0.237014,-0.029485,0.004976,Gempa
409,0.189086,0.013641,0.030509,Gempa
410,0.12969,0.055956,0.048165,Gempa
411,0.060851,0.092771,0.058557,Gempa
412,-0.016346,0.119251,0.064721,Gempa
413,-0.098669,0.132839,0.069158,Gempa
414,-0.178492,0.133483,0.071675,Gempa
415,-0.246132,0.122406,0.070619,Gempa
416,-0.294226,0.101091,0.06579,Gempa
417,-0.320269,0.071383,0.060176,Gempa
418,-0.325916,0.036583,0.058798,Gempa
419,-0.313635,0.001556,0.064465,Gempa
420,-0.285113,-0.029478,0.074436,Gempa
421,-0.244338,-0.054782,0.081732,Gempa
422,-0.200452,-0.074116,0.079506,Gempa
423,-0.165182,-0.086917,0.065415,Gempa
424,-0.147213,-0.092213,0.043068,Gempa
425,-0.147976,-0.089893,0.019078,Gempa
426,-0.161857,-0.081947,-0.000918,Gempa
427,-0.181667,-0.072322,-0.013916,Gempa
428,-0.203894,-0.064899,-0.019436,Gempa
429,-0.228682,-0.061583,-0.018959,Gempa
430,-0.256489,-0.062389,-0.015138,Gempa
431,-0.284644,-0.066341,-0.01063,Gempa
432,-0.305046,-0.071794,-0.007055,Gempa
433,-0.303869,-0.07647,-0.004721,Gempa
434,-0.264273,-0.077919,-0.003164,Gempa
435,-0.173044,-0.074316,-0.002214,Gempa
436,-0.028733,-0.06512,-0.002539,Gempa
437,0.15296,-0.05102,-0.004969,Gempa
438,0.341727,-0.032955,-0.009634,Gempa
439,0.505594,-0.011412,-0.015934,Gempa
440,0.623798,0.013013,-0.02277,Gempa
441,0.689076,0.038767,-0.028444,Gempa
442,0.701578,0.063358,-0.030778,Gempa
443,0.660874,0.084046,-0.028071,Gempa
444,0.564353,0.098642,-0.019979,Gempa
445,0.415734,0.10605,-0.007407,Gempa
446,0.23244,0.106351,0.008121,Gempa
447,0.041128,0.100678,0.024843,Gempa
448,-0.132227,0.091001,0.04065,Gempa
449,-0.268486,0.079741,0.05273,Gempa
450,-0.355799,0.069109,0.057964,Gempa
451,-0.386287,0.060587,0.054598,Gempa
452,-0.354904,0.054879,0.04357,Gempa
453,-0.263722,0.0519,0.02793,Gempa
454,-0.12471,0.050513,0.011322,Gempa
455,0.044867,0.048622,-0.003099,Gempa
456,0.226896,0.044249,-0.013063,Gempa
457,0.399547,0.037064,-0.017109,Gempa
458,0.534026,0.029342,-0.014537,Gempa
459,0.600108,0.025463,-0.005698,Gempa
460,0.579139,0.029568,0.007777,Gempa
461,0.477126,0.043172,0.023206,Gempa
462,0.324434,0.064595,0.037185,Gempa
463,0.154705,0.089958,0.045822,Gempa
464,-0.015872,0.114933,0.04543,Gempa
465,-0.187965,0.136061,0.034067,Gempa
466,-0.36534,0.150928,0.012707,Gempa
467,-0.542445,0.157993,-0.015195,Gempa
468,-0.701294,0.156842,-0.045052,Gempa
469,-0.818979,0.148346,-0.072428,Gempa
470,-0.874527,0.134166,-0.093846,Gempa
471,-0.847853,0.116253,-0.107132,Gempa
472,-0.722756,0.096954,-0.111911,Gempa
473,-0.503628,0.079208,-0.110256,Gempa
474,-0.228918,0.06605,-0.105918,Gempa
475,0.038651,0.059422,-0.101241,Gempa
476,0.239636,0.05887,-0.094943,Gempa
477,0.34804,0.061516,-0.08375,Gempa
478,0.382102,0.064116,-0.065758,Gempa
479,0.381508,0.065154,-0.042371,Gempa
480,0.374321,0.064864,-0.017548,Gempa
481,0.360515,0.063909,0.005346,Gempa
482,0.316816,0.062156,0.025677,Gempa
483,0.218262,0.05857,0.04417,Gempa
484,0.058764,0.052451,0.060913,Gempa
485,-0.144105,0.04425,0.075735,Gempa
486,-0.356542,0.034625,0.089228,Gempa
487,-0.540703,0.023301,0.102099,Gempa
488,-0.664573,0.009542,0.113625,Gempa
489,-0.705744,-0.006446,0.120983,Gempa
490,-0.652099,-0.02261,0.1204,Gempa
491,-0.502789,-0.035726,0.110023,Gempa
492,-0.269607,-0.043735,0.091727,Gempa
493,0.022803,-0.047221,0.069641,Gempa
494,0.339255,-0.047983,0.047537,Gempa
495,0.640174,-0.047084,0.027677,Gempa
496,0.890765,-0.044859,0.010933,Gempa
497,1.070001,-0.04184,-0.002709,Gempa
498,1.171943,-0.038841,-0.013821,Gempa
499,1.194821,-0.035996,-0.023469,Gempa
500,1.129659,-0.031614,-0.032974,Gempa
501,0.961711,-0.022748,-0.04315,Gempa
502,0.684405,-0.008272,-0.053535,Gempa
503,0.31776,0.009073,-0.062348,Gempa
504,-0.08714,0.024759,-0.067375,Gempa
505,-0.469521,0.03568,-0.067575,Gempa
506,-0.78411,0.040947,-0.064153,Gempa
507,-1.006834,0.040729,-0.05995,Gempa
