X;Y;Z
-0,005784;0,002083;-0,000153
-0,005532;0,002518;-0,000106
-0,005028;0,002967;0,000013
-0,004448;0,003518;0,000179
-0,003901;0,004335;0,000299
-0,003371;0,005536;0,000326
-0,00281;0,007121;0,000339
-0,002245;0,009093;0,000427
-0,001719;0,011573;0,000545
-0,001197;0,014704;0,000564
-0,000594;0,018475;0,000414
0,000149;0,022647;0,00017
0,001038;0,026809;0,000008
0,002033;0,030488;0,000021
0,003047;0,033254;0,000113
0,00395;0,034751;0,000131
0,004614;0,034728;0,000036
0,004968;0,033117;-0,000108
0,00505;0,030032;-0,000218
0,004996;0,025648;-0,000244
0,004925;0,020108;-0,000165
0,004863;0,013627;-0,000001
0,004783;0,0066;0,000185
0,004665;-0,000473;0,00031
0,004469;-0,007116;0,00031
0,004098;-0,012951;0,000176
0,00344;-0,017797;-0,000024
0,002411;-0,021855;-0,000171
0,000939;-0,025767;-0,000165
-0,001081;-0,030284;-0,000023
-0,003751;-0,035808;0,000112
-0,007102;-0,042097;0,000108
-0,011013;-0,048287;-0,000025
-0,015206;-0,053249;-0,000146
-0,019345;-0,055973;-0,000114
-0,023148;-0,055751;0,000081
-0,026402;-0,052307;0,0003
-0,028908;-0,045995;0,000411
-0,030401;-0,037807;0,000411
-0,030547;-0,028942;0,000362
-0,029087;-0,020364;0,00029
-0,025997;-0,01279;0,0002
-0,021537;-0,006958;0,000134
-0,016174;-0,003833;0,00014
-0,010427;-0,004479;0,000205
-0,004733;-0,00947;0,000269
0,000572;-0,01823;0,000279
0,005255;-0,028777;0,000254
0,009214;-0,038003;0,000265
0,012483;-0,042555;0,000345
0,015127;-0,039988;0,000424
0,017115;-0,029749;0,000422
0,018266;-0,013447;0,000339
0,018326;0,005975;0,000218
0,017125;0,025474;0,00009
0,01468;0,04275;-0,000019
0,011118;0,056399;-0,000051
0,006597;0,065421;0,000023
0,001357;0,06882;0,000154
-0,004221;0,065914;0,000243
-0,009693;0,057086;0,00023
-0,014704;0,04438;0,000156
-0,019098;0,03141;0,000139
-0,02291;0,022197;0,000231
-0,026247;0,019397;0,000343
-0,029156;0,022649;0,000368
-0,031563;0,02799;0,00032
-0,033199;0,02918;0,0003
-0,033499;0,0204;0,000376
-0,031663;-0,000645;0,000521
-0,027028;-0,0309;0,000639
-0,019461;-0,062884;0,000681
-0,009432;-0,087647;0,000692
0,00222;-0,098456;0,000727
0,014673;-0,093366;0,000761
0,027433;-0,07514;0,000732
0,040378;-0,049288;0,000632
0,053621;-0,021368;0,000527
0,067307;0,005161;0,000494
0,081354;0,029474;0,000522
0,095178;0,052294;0,000509
0,107583;0,073632;0,000401
0,116959;0,091011;0,000292
0,121625;0,099798;0,00032
0,120122;0,095555;0,0005
0,111421;0,077468;0,00072
0,095082;0,050421;0,000836
0,071416;0,023515;0,000804
0,041601;0,006103;0,000701
0,00764;0,003239;0,000624
-0,027969;0,012884;0,000578
-0,062673;0,026839;0,00051
-0,094218;0,034552;0,000391
-0,120858;0,028243;0,000254
-0,14138;0,006598;0,000153
-0,155063;-0,025229;0,000098
-0,161639;-0,058283;0,000038
-0,161315;-0,083559;-0,000081
-0,154828;-0,095051;-0,000234
-0,143402;-0,090869;-0,000334
-0,128494;-0,072909;-0,000298
-0,111451;-0,045622;-0,000108
-0,09324;-0,014181;0,000158
-0,07434;0,017495;0,000377
-0,054864;0,047406;0,000465
-0,034787;0,073843;0,000435
-0,014202;0,093502;0,000405
0,006475;0,101716;0,000503
0,026418;0,094898;0,000779
0,04455;0,074011;0,001186
0,059996;0,046138;0,001646
0,072611;0,021808;0,002142
0,083258;0,010336;0,002754
0,093657;0,015966;0,003593
0,105664;0,03585;0,004717
0,120276;0,060535;0,006123
0,136732;0,077033;0,007778
0,1522;0,074347;0,009644
0,162478;0,048947;0,011714
0,163446;0,007029;0,014092
0,15277;-0,038152;0,017053
0,130931;-0,073972;0,020988
0,100843;-0,095358;0,0263
0,066623;-0,105303;0,033321
0,032276;-0,110303;0,042318
0,000854;-0,114072;0,053583
-0,025632;-0,114047;0,06741
-0,045945;-0,103705;0,083802
-0,059403;-0,077571;0,102163
-0,065809;-0,035058;0,121249
-0,065503;0,018221;0,139289
-0,059396;0,072095;0,154161
-0,048925;0,115192;0,163633
-0,035983;0,138861;0,165697
-0,022851;0,14033;0,158956
-0,012051;0,123722;0,142955
-0,00597;0,098293;0,118257
-0,006431;0,07375;0,086187
-0,014364;0,055207;0,048559
-0,029658;0,040732;0,007618
-0,051225;0,022599;-0,033991
-0,077259;-0,007595;-0,073507
-0,105658;-0,053014;-0,108498
-0,134524;-0,108405;-0,137251
-0,162504;-0,161256;-0,159031
-0,000772;-0,016288;-0,004569
0,000154;-0,009675;-0,004123
0,000514;-0,001952;-0,0037
0,000158;0,00489;-0,003379
-0,000464;0,008982;-0,003168
-0,000645;0,009039;-0,003027
0,000022;0,0047;-0,002906
0,001356;-0,003268;-0,002782
0,002685;-0,013026;-0,002668
0,00328;-0,022111;-0,002575
0,002799;-0,028246;-0,002449
0,001432;-0,029973;-0,002171
-0,000189;-0,026624;-0,001697
-0,001273;-0,017956;-0,001151
-0,001259;-0,003949;-0,000744
-0,000212;0,015032;-0,000597
0,001147;0,037736;-0,000631
0,002006;0,061644;-0,000596
0,002048;0,083153;-0,000231
